# ExportBarsG8 v2.00 | exportado_em_local=2026.07.15 23:43:31
# server_time=2026.07.16 06:43:31 | gmt_time=2026.07.16 03:43:31 | offset_server_gmt_h=3.0
# broker=MetaQuotes Ltd. | conta_servidor=MetaQuotes-Demo
symbol,tf,rows,first_bar,last_bar,status,file
AUDCAD,M5,96753,2025.03.12 15:15,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\AUDCAD_M5.csv
AUDCAD,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDCAD_M15.csv
AUDCAD,M30,68288,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDCAD_M30.csv
AUDCAD,H1,34151,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDCAD_H1.csv
AUDCAD,H4,8550,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDCAD_H4.csv
AUDCAD,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDCAD_D1.csv
AUDCAD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDCAD_W1.csv
AUDCAD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDCAD_MN1.csv
AUDCHF,M5,96751,2025.03.12 14:15,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\AUDCHF_M5.csv
AUDCHF,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDCHF_M15.csv
AUDCHF,M30,68289,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDCHF_M30.csv
AUDCHF,H1,34152,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDCHF_H1.csv
AUDCHF,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDCHF_H4.csv
AUDCHF,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDCHF_D1.csv
AUDCHF,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDCHF_W1.csv
AUDCHF,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDCHF_MN1.csv
AUDJPY,M5,98088,2025.03.06 00:00,2026.06.30 23:55,ok_parcial_desde_2025.03.06,IFM_export\AUDJPY_M5.csv
AUDJPY,M15,49539,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDJPY_M15.csv
AUDJPY,M30,68289,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDJPY_M30.csv
AUDJPY,H1,34152,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDJPY_H1.csv
AUDJPY,H4,8550,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDJPY_H4.csv
AUDJPY,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDJPY_D1.csv
AUDJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDJPY_W1.csv
AUDJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDJPY_MN1.csv
AUDNZD,M5,96750,2025.03.12 16:05,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\AUDNZD_M5.csv
AUDNZD,M15,49539,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDNZD_M15.csv
AUDNZD,M30,68297,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDNZD_M30.csv
AUDNZD,H1,34156,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDNZD_H1.csv
AUDNZD,H4,8552,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDNZD_H4.csv
AUDNZD,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDNZD_D1.csv
AUDNZD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDNZD_W1.csv
AUDNZD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDNZD_MN1.csv
AUDUSD,M5,98094,2025.03.06 00:00,2026.06.30 23:55,ok_parcial_desde_2025.03.06,IFM_export\AUDUSD_M5.csv
AUDUSD,M15,49541,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDUSD_M15.csv
AUDUSD,M30,68294,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDUSD_M30.csv
AUDUSD,H1,34155,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDUSD_H1.csv
AUDUSD,H4,8552,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDUSD_H4.csv
AUDUSD,D1,1429,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDUSD_D1.csv
AUDUSD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDUSD_W1.csv
AUDUSD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDUSD_MN1.csv
CADCHF,M5,96749,2025.03.12 15:45,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\CADCHF_M5.csv
CADCHF,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\CADCHF_M15.csv
CADCHF,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\CADCHF_M30.csv
CADCHF,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\CADCHF_H1.csv
CADCHF,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\CADCHF_H4.csv
CADCHF,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\CADCHF_D1.csv
CADCHF,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\CADCHF_W1.csv
CADCHF,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\CADCHF_MN1.csv
CADJPY,M5,96748,2025.03.12 16:00,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\CADJPY_M5.csv
CADJPY,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\CADJPY_M15.csv
CADJPY,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\CADJPY_M30.csv
CADJPY,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\CADJPY_H1.csv
CADJPY,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\CADJPY_H4.csv
CADJPY,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\CADJPY_D1.csv
CADJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\CADJPY_W1.csv
CADJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\CADJPY_MN1.csv
CHFJPY,M5,96748,2025.03.11 10:05,2026.06.30 23:55,ok_parcial_desde_2025.03.11,IFM_export\CHFJPY_M5.csv
CHFJPY,M15,49474,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\CHFJPY_M15.csv
CHFJPY,M30,68274,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\CHFJPY_M30.csv
CHFJPY,H1,34152,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\CHFJPY_H1.csv
CHFJPY,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\CHFJPY_H4.csv
CHFJPY,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\CHFJPY_D1.csv
CHFJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\CHFJPY_W1.csv
CHFJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\CHFJPY_MN1.csv
EURAUD,M5,97507,2025.03.10 00:00,2026.06.30 23:55,ok_parcial_desde_2025.03.10,IFM_export\EURAUD_M5.csv
EURAUD,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\EURAUD_M15.csv
EURAUD,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\EURAUD_M30.csv
EURAUD,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\EURAUD_H1.csv
EURAUD,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\EURAUD_H4.csv
EURAUD,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\EURAUD_D1.csv
EURAUD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\EURAUD_W1.csv
EURAUD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\EURAUD_MN1.csv
EURCAD,M5,97230,2025.03.11 00:00,2026.06.30 23:55,ok_parcial_desde_2025.03.11,IFM_export\EURCAD_M5.csv
EURCAD,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\EURCAD_M15.csv
EURCAD,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\EURCAD_M30.csv
EURCAD,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\EURCAD_H1.csv
EURCAD,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\EURCAD_H4.csv
EURCAD,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\EURCAD_D1.csv
EURCAD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\EURCAD_W1.csv
EURCAD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\EURCAD_MN1.csv
EURCHF,M5,96746,2025.03.12 15:50,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\EURCHF_M5.csv
EURCHF,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\EURCHF_M15.csv
EURCHF,M30,68292,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\EURCHF_M30.csv
EURCHF,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\EURCHF_H1.csv
EURCHF,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\EURCHF_H4.csv
EURCHF,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\EURCHF_D1.csv
EURCHF,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\EURCHF_W1.csv
EURCHF,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\EURCHF_MN1.csv
EURGBP,M5,96746,2025.03.12 16:10,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\EURGBP_M5.csv
EURGBP,M15,49541,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\EURGBP_M15.csv
EURGBP,M30,68308,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\EURGBP_M30.csv
EURGBP,H1,34162,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\EURGBP_H1.csv
EURGBP,H4,8554,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\EURGBP_H4.csv
EURGBP,D1,1429,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\EURGBP_D1.csv
EURGBP,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\EURGBP_W1.csv
EURGBP,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\EURGBP_MN1.csv
EURJPY,M5,96745,2025.03.12 16:25,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\EURJPY_M5.csv
EURJPY,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\EURJPY_M15.csv
EURJPY,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\EURJPY_M30.csv
EURJPY,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\EURJPY_H1.csv
EURJPY,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\EURJPY_H4.csv
EURJPY,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\EURJPY_D1.csv
EURJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\EURJPY_W1.csv
EURJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\EURJPY_MN1.csv
EURNZD,M5,96744,2025.03.12 16:35,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\EURNZD_M5.csv
EURNZD,M15,49539,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\EURNZD_M15.csv
EURNZD,M30,68294,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\EURNZD_M30.csv
EURNZD,H1,34155,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\EURNZD_H1.csv
EURNZD,H4,8552,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\EURNZD_H4.csv
EURNZD,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\EURNZD_D1.csv
EURNZD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\EURNZD_W1.csv
EURNZD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\EURNZD_MN1.csv
EURUSD,M5,96744,2025.03.12 13:55,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\EURUSD_M5.csv
EURUSD,M15,49539,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\EURUSD_M15.csv
EURUSD,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\EURUSD_M30.csv
EURUSD,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\EURUSD_H1.csv
EURUSD,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\EURUSD_H4.csv
EURUSD,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\EURUSD_D1.csv
EURUSD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\EURUSD_W1.csv
EURUSD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\EURUSD_MN1.csv
GBPAUD,M5,98097,2025.03.06 00:00,2026.06.30 23:55,ok_parcial_desde_2025.03.06,IFM_export\GBPAUD_M5.csv
GBPAUD,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\GBPAUD_M15.csv
GBPAUD,M30,68292,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\GBPAUD_M30.csv
GBPAUD,H1,34153,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\GBPAUD_H1.csv
GBPAUD,H4,8550,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\GBPAUD_H4.csv
GBPAUD,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\GBPAUD_D1.csv
GBPAUD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\GBPAUD_W1.csv
GBPAUD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\GBPAUD_MN1.csv
GBPCAD,M5,96743,2025.03.12 14:15,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\GBPCAD_M5.csv
GBPCAD,M15,49499,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\GBPCAD_M15.csv
GBPCAD,M30,68190,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\GBPCAD_M30.csv
GBPCAD,H1,34104,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\GBPCAD_H1.csv
GBPCAD,H4,8539,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\GBPCAD_H4.csv
GBPCAD,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\GBPCAD_D1.csv
GBPCAD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\GBPCAD_W1.csv
GBPCAD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\GBPCAD_MN1.csv
GBPCHF,M5,96742,2025.03.12 16:30,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\GBPCHF_M5.csv
GBPCHF,M15,49541,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\GBPCHF_M15.csv
GBPCHF,M30,68289,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\GBPCHF_M30.csv
GBPCHF,H1,34152,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\GBPCHF_H1.csv
GBPCHF,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\GBPCHF_H4.csv
GBPCHF,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\GBPCHF_D1.csv
GBPCHF,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\GBPCHF_W1.csv
GBPCHF,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\GBPCHF_MN1.csv
GBPJPY,M5,96742,2025.03.12 16:25,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\GBPJPY_M5.csv
GBPJPY,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\GBPJPY_M15.csv
GBPJPY,M30,68288,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\GBPJPY_M30.csv
GBPJPY,H1,34151,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\GBPJPY_H1.csv
GBPJPY,H4,8550,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\GBPJPY_H4.csv
GBPJPY,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\GBPJPY_D1.csv
GBPJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\GBPJPY_W1.csv
GBPJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\GBPJPY_MN1.csv
GBPNZD,M5,96741,2025.03.07 21:15,2026.06.30 23:55,ok_parcial_desde_2025.03.07,IFM_export\GBPNZD_M5.csv
GBPNZD,M15,49199,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\GBPNZD_M15.csv
GBPNZD,M30,67689,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\GBPNZD_M30.csv
GBPNZD,H1,33858,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\GBPNZD_H1.csv
GBPNZD,H4,8486,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\GBPNZD_H4.csv
GBPNZD,D1,1421,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\GBPNZD_D1.csv
GBPNZD,W1,545,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\GBPNZD_W1.csv
GBPNZD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\GBPNZD_MN1.csv
GBPUSD,M5,96741,2025.03.12 15:15,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\GBPUSD_M5.csv
GBPUSD,M15,49536,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\GBPUSD_M15.csv
GBPUSD,M30,68291,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\GBPUSD_M30.csv
GBPUSD,H1,34153,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\GBPUSD_H1.csv
GBPUSD,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\GBPUSD_H4.csv
